x y yRK4 yRK5 h
12.8 3.15156 3.15156 3.15155 0.0147896
12.9 3.14079 3.14079 3.14078 0.0147899
13 3.13004 3.13004 3.13003 0.0147903
13.1 3.11931 3.11931 3.1193 0.0147907
13.2 3.1086 3.1086 3.10859 0.0147911
13.3 3.09791 3.09791 3.0979 0.0147915
13.4 3.08724 3.08724 3.08723 0.0147919
13.5 3.07659 3.07659 3.07658 0.0147922
13.6 3.06596 3.06596 3.06595 0.0147926
13.7 3.05535 3.05535 3.05534 0.014793
13.8 3.04476 3.04476 3.04475 0.0147934
13.9 3.03419 3.03419 3.03418 0.0147938
14 3.02364 3.02364 3.02363 0.0147942
14.1 3.01311 3.01311 3.0131 0.0147946
14.2 3.0026 3.0026 3.00259 0.014795
14.3 2.99211 2.99211 2.9921 0.0147954
14.4 2.98164 2.98164 2.98163 0.0147958
14.5 2.97119 2.97119 2.97118 0.0147962
14.6 2.96075 2.96075 2.96074 0.0147966
14.7 2.95034 2.95034 2.95033 0.014797
14.8 2.93995 2.93995 2.93994 0.0147974
14.9 2.92958 2.92958 2.92957 0.0147978
15 2.91923 2.91923 2.91922 0.0147982
15.1 2.9089 2.9089 2.90889 0.0147986
15.2 2.89859 2.89859 2.89858 0.014799
15.3 2.8883 2.8883 2.88829 0.0147994
15.4 2.87802 2.87802 2.87801 0.0147999
15.5 2.86777 2.86777 2.86776 0.0148003
15.6 2.85754 2.85754 2.85753 0.0148007
15.7 2.84733 2.84733 2.84732 0.0148011
15.8 2.83714 2.83714 2.83713 0.0148015
15.9 2.82696 2.82696 2.82695 0.014802
16 2.81681 2.81681 2.8168 0.0148024
16.1 2.80668 2.80668 2.80667 0.0148028
16.2 2.79657 2.79657 2.79656 0.0148032
16.3 2.78647 2.78647 2.78646 0.0148037
16.4 2.7764 2.7764 2.77639 0.0148041
16.5 2.76635 2.76635 2.76634 0.0148045
16.6 2.75632 2.75632 2.75631 0.0148049
16.7 2.7463 2.7463 2.74629 0.0148054
16.8 2.73631 2.73631 2.7363 0.0148058
16.9 2.72634 2.72634 2.72633 0.0148063
17 2.71638 2.71638 2.71637 0.0148067
17.1 2.70645 2.70645 2.70644 0.0148071
17.2 2.69653 2.69653 2.69652 0.0148076
17.3 2.68664 2.68664 2.68663 0.014808
17.4 2.67677 2.67677 2.67676 0.0148085
17.5 2.66691 2.66691 2.6669 0.0148089
17.6 2.65708 2.65708 2.65707 0.0148094
17.7 2.64726 2.64726 2.64725 0.0148098
17.8 2.63747 2.63747 2.63746 0.0148103
17.9 2.62769 2.62769 2.62768 0.0148107
18 2.61794 2.61794 2.61793 0.0148112
18.1 2.6082 2.6082 2.60819 0.0148116
18.2 2.59849 2.59849 2.59848 0.0148121
18.3 2.58879 2.58879 2.58878 0.0148125
18.4 2.57912 2.57912 2.5791 0.014813
18.5 2.56946 2.56946 2.56945 0.0148135
18.6 2.55982 2.55982 2.55981 0.0148139
18.7 2.55021 2.55021 2.5502 0.0148144
18.8 2.54061 2.54061 2.5406 0.0148149
18.9 2.53103 2.53103 2.53102 0.0148153
19 2.52148 2.52148 2.52146 0.0148158
19.1 2.51194 2.51194 2.51193 0.0148163
19.2 2.50242 2.50242 2.50241 0.0148168
19.3 2.49292 2.49292 2.49291 0.0148172
19.4 2.48344 2.48344 2.48343 0.0148177
19.5 2.47399 2.47399 2.47398 0.0148182
19.6 2.46455 2.46455 2.46454 0.0148187
19.7 2.45513 2.45513 2.45512 0.0148192
19.8 2.44573 2.44573 2.44572 0.0148197
19.9 2.43635 2.43635 2.43634 0.0148202
20 2.42699 2.42699 2.42698 0.0148206
20.1 2.41765 2.41765 2.41764 0.0148211
20.2 2.40833 2.40833 2.40832 0.0148216
20.3 2.39903 2.39903 2.39902 0.0148221
20.4 2.38975 2.38975 2.38974 0.0148226
20.5 2.38049 2.38049 2.38048 0.0148231
20.6 2.37125 2.37125 2.37124 0.0148236
20.7 2.36203 2.36203 2.36202 0.0148241
20.8 2.35283 2.35283 2.35281 0.0148246
20.9 2.34364 2.34364 2.34363 0.0148252
21 2.33448 2.33448 2.33447 0.0148257
21.1 2.32534 2.32534 2.32533 0.0148262
21.2 2.31622 2.31622 2.31621 0.0148267
21.3 2.30711 2.30711 2.3071 0.0148272
21.4 2.29803 2.29803 2.29802 0.0148277
21.5 2.28897 2.28897 2.28896 0.0148282
21.6 2.27992 2.27992 2.27991 0.0148288
21.7 2.2709 2.2709 2.27089 0.0148293
21.8 2.26189 2.26189 2.26188 0.0148298
21.9 2.25291 2.25291 2.2529 0.0148304
22 2.24394 2.24394 2.24393 0.0148309
22.1 2.235 2.235 2.23499 0.0148314
22.2 2.22607 2.22607 2.22606 0.014832
22.3 2.21716 2.21716 2.21715 0.0148325
22.4 2.20828 2.20828 2.20827 0.014833
22.5 2.19941 2.19941 2.1994 0.0148336
22.6 2.19056 2.19056 2.19055 0.0148341
22.7 2.18174 2.18174 2.18173 0.0148347
22.8 2.17293 2.17293 2.17292 0.0148352
22.9 2.16414 2.16414 2.16413 0.0148358
23 2.15537 2.15537 2.15536 0.0148363
23.1 2.14662 2.14662 2.14661 0.0148369
23.2 2.13789 2.13789 2.13788 0.0148374
23.3 2.12918 2.12918 2.12917 0.014838
23.4 2.12049 2.12049 2.12048 0.0148386
23.5 2.11182 2.11182 2.11181 0.0148391
23.6 2.10317 2.10317 2.10316 0.0148397
23.7 2.09454 2.09454 2.09453 0.0148403
23.8 2.08593 2.08593 2.08592 0.0148408
23.9 2.07733 2.07733 2.07732 0.0148414
24 2.06876 2.06876 2.06875 0.014842
24.1 2.06021 2.06021 2.0602 0.0148426
24.2 2.05168 2.05168 2.05167 0.0148431
24.3 2.04316 2.04316 2.04315 0.0148437
24.4 2.03467 2.03467 2.03466 0.0148443
24.5 2.02619 2.02619 2.02618 0.0148449
24.6 2.01774 2.01774 2.01773 0.0148455
24.7 2.0093 2.0093 2.00929 0.0148461
24.8 2.00089 2.00089 2.00088 0.0148467
24.9 1.99249 1.99249 1.99248 0.0148473
25 1.98411 1.98411 1.9841 0.0148479
25.1 1.97576 1.97576 1.97574 0.0148485
25.2 1.96742 1.96742 1.96741 0.0148491
25.3 1.9591 1.9591 1.95909 0.0148497
25.4 1.9508 1.9508 1.95079 0.0148503
25.5 1.94252 1.94252 1.94251 0.0148509
25.6 1.93426 1.93426 1.93425 0.0148515
25.7 1.92602 1.92602 1.92601 0.0148522
25.8 1.9178 1.9178 1.91779 0.0148528
25.9 1.9096 1.9096 1.90959 0.0148534
26 1.90142 1.90142 1.90141 0.014854
26.1 1.89325 1.89325 1.89324 0.0148547
26.2 1.88511 1.88511 1.8851 0.0148553
26.3 1.87699 1.87699 1.87698 0.0148559
26.4 1.86889 1.86889 1.86887 0.0148566
26.5 1.8608 1.8608 1.86079 0.0148572
26.6 1.85274 1.85274 1.85273 0.0148579
26.7 1.84469 1.84469 1.84468 0.0148585
26.8 1.83667 1.83667 1.83665 0.0148592
26.9 1.82866 1.82866 1.82865 0.0148598
27 1.82067 1.82067 1.82066 0.0148605
27.1 1.8127 1.8127 1.81269 0.0148611
27.2 1.80476 1.80476 1.80475 0.0148618
27.3 1.79683 1.79683 1.79682 0.0148624
27.4 1.78892 1.78892 1.78891 0.0148631
27.5 1.78103 1.78103 1.78102 0.0148638
27.6 1.77316 1.77316 1.77315 0.0148645
27.7 1.76531 1.76531 1.7653 0.0148651
27.8 1.75748 1.75748 1.75747 0.0148658
27.9 1.74966 1.74966 1.74965 0.0148665
28 1.74187 1.74187 1.74186 0.0148672
28.1 1.7341 1.7341 1.73409 0.0148679
28.2 1.72634 1.72634 1.72633 0.0148686
28.3 1.71861 1.71861 1.7186 0.0148693
28.4 1.7109 1.7109 1.71088 0.01487
28.5 1.7032 1.7032 1.70319 0.0148707
28.6 1.69552 1.69552 1.69551 0.0148714
28.7 1.68787 1.68787 1.68786 0.0148721
28.8 1.68023 1.68023 1.68022 0.0148728
28.9 1.67261 1.67261 1.6726 0.0148735
29 1.66501 1.66501 1.665 0.0148742
29.1 1.65743 1.65743 1.65742 0.0148749
29.2 1.64987 1.64987 1.64986 0.0148756
29.3 1.64233 1.64233 1.64232 0.0148764
29.4 1.63481 1.63481 1.6348 0.0148771
29.5 1.62731 1.62731 1.6273 0.0148778
29.6 1.61982 1.61982 1.61981 0.0148786
29.7 1.61236 1.61236 1.61235 0.0148793
29.8 1.60492 1.60492 1.60491 0.0148801
29.9 1.59749 1.59749 1.59748 0.0148808
30 1.59009 1.59009 1.59008 0.0148816
30.1 1.5827 1.5827 1.58269 0.0148823
30.2 1.57533 1.57533 1.57532 0.0148831
30.3 1.56799 1.56799 1.56798 0.0148838
30.4 1.56066 1.56066 1.56065 0.0148846
30.5 1.55335 1.55335 1.55334 0.0148854
30.6 1.54606 1.54606 1.54605 0.0148861
30.7 1.53879 1.53879 1.53878 0.0148869
30.8 1.53154 1.53154 1.53153 0.0148877
30.9 1.5243 1.5243 1.52429 0.0148885
31 1.51709 1.51709 1.51708 0.0148893
31.1 1.5099 1.5099 1.50989 0.0148901
31.2 1.50272 1.50272 1.50271 0.0148909
31.3 1.49557 1.49557 1.49556 0.0148917
31.4 1.48843 1.48843 1.48842 0.0148925
31.5 1.48132 1.48132 1.48131 0.0148933
31.6 1.47422 1.47422 1.47421 0.0148941
31.7 1.46714 1.46714 1.46713 0.0148949
31.8 1.46008 1.46008 1.46007 0.0148957
31.9 1.45304 1.45304 1.45303 0.0148965
32 1.44602 1.44602 1.44601 0.0148974
32.1 1.43902 1.43902 1.43901 0.0148982
32.2 1.43204 1.43204 1.43203 0.014899
32.3 1.42507 1.42507 1.42506 0.0148999
32.4 1.41813 1.41813 1.41812 0.0149007
32.5 1.41121 1.41121 1.4112 0.0149016
32.6 1.4043 1.4043 1.40429 0.0149024
32.7 1.39741 1.39741 1.3974 0.0149033
32.8 1.39055 1.39055 1.39054 0.0149041
32.9 1.3837 1.3837 1.38369 0.014905
33 1.37687 1.37687 1.37686 0.0149058
33.1 1.37006 1.37006 1.37005 0.0149067
33.2 1.36327 1.36327 1.36326 0.0149076
33.3 1.3565 1.3565 1.35649 0.0149085
33.4 1.34974 1.34974 1.34973 0.0149094
33.5 1.34301 1.34301 1.343 0.0149103
33.6 1.3363 1.3363 1.33629 0.0149112
33.7 1.3296 1.3296 1.32959 0.0149121
33.8 1.32292 1.32292 1.32291 0.014913
33.9 1.31627 1.31627 1.31626 0.0149139
34 1.30963 1.30963 1.30962 0.0149148
34.1 1.30301 1.30301 1.303 0.0149157
34.2 1.29641 1.29641 1.2964 0.0149166
34.3 1.28983 1.28983 1.28982 0.0149175
34.4 1.28327 1.28327 1.28326 0.0149185
34.5 1.27672 1.27672 1.27671 0.0149194
34.6 1.2702 1.2702 1.27019 0.0149204
34.7 1.26369 1.26369 1.26368 0.0149213
34.8 1.25721 1.25721 1.2572 0.0149223
34.9 1.25074 1.25074 1.25073 0.0149232
35 1.24429 1.24429 1.24428 0.0149242
35.1 1.23786 1.23786 1.23785 0.0149251
35.2 1.23145 1.23145 1.23144 0.0149261
35.3 1.22506 1.22506 1.22505 0.0149271
35.4 1.21869 1.21869 1.21868 0.0149281
35.5 1.21234 1.21234 1.21233 0.0149291
35.6 1.206 1.206 1.20599 0.01493
35.7 1.19969 1.19969 1.19968 0.014931
35.8 1.19339 1.19339 1.19338 0.014932
35.9 1.18712 1.18712 1.18711 0.0149331
36 1.18086 1.18086 1.18085 0.0149341
36.1 1.17462 1.17462 1.17461 0.0149351
36.2 1.1684 1.1684 1.16839 0.0149361
36.3 1.1622 1.1622 1.16219 0.0149371
36.4 1.15601 1.15601 1.156 0.0149382
36.5 1.14985 1.14985 1.14984 0.0149392
36.6 1.14371 1.14371 1.1437 0.0149403
36.7 1.13758 1.13758 1.13757 0.0149413
36.8 1.13147 1.13147 1.13146 0.0149424
36.9 1.12538 1.12538 1.12537 0.0149434
37 1.11931 1.11931 1.1193 0.0149445
37.1 1.11326 1.11326 1.11325 0.0149456
37.2 1.10723 1.10723 1.10722 0.0149467
37.3 1.10122 1.10122 1.10121 0.0149477
37.4 1.09522 1.09522 1.09521 0.0149488
37.5 1.08925 1.08925 1.08924 0.0149499
37.6 1.08329 1.08329 1.08328 0.014951
37.7 1.07736 1.07736 1.07735 0.0149522
37.8 1.07144 1.07144 1.07143 0.0149533
37.9 1.06554 1.06554 1.06553 0.0149544
38 1.05966 1.05966 1.05965 0.0149555
38.1 1.05379 1.05379 1.05378 0.0149567
38.2 1.04795 1.04795 1.04794 0.0149578
38.3 1.04212 1.04212 1.04211 0.014959
38.4 1.03632 1.03632 1.03631 0.0149601
38.5 1.03053 1.03053 1.03052 0.0149613
38.6 1.02476 1.02476 1.02475 0.0149624
38.7 1.01901 1.01901 1.019 0.0149636
38.8 1.01328 1.01328 1.01327 0.0149648
38.9 1.00757 1.00757 1.00756 0.014966
39 1.00187 1.00187 1.00186 0.0149672
39.1 0.996197 0.996197 0.996188 0.0149684
39.2 0.990541 0.990541 0.990531 0.0149696
39.3 0.984903 0.984903 0.984893 0.0149708
39.4 0.979283 0.979283 0.979274 0.014972
39.5 0.973683 0.973683 0.973673 0.0149733
39.6 0.968101 0.968101 0.968091 0.0149745
39.7 0.962537 0.962537 0.962527 0.0149758
39.8 0.956993 0.956993 0.956983 0.014977
39.9 0.951466 0.951466 0.951457 0.0149783
40 0.945959 0.945959 0.945949 0.0149795
40.1 0.94047 0.94047 0.94046 0.0149808
40.2 0.935 0.935 0.93499 0.0149821
40.3 0.929548 0.929548 0.929538 0.0149834
40.4 0.924115 0.924115 0.924105 0.0149847
40.5 0.9187 0.9187 0.91869 0.014986
40.6 0.913304 0.913304 0.913294 0.0149873
40.7 0.907926 0.907926 0.907916 0.0149886
40.8 0.902567 0.902567 0.902557 0.0149899
40.9 0.897227 0.897227 0.897217 0.0149913
41 0.891905 0.891905 0.891895 0.0149926
41.1 0.886601 0.886601 0.886592 0.014994
41.2 0.881316 0.881316 0.881307 0.0149953
41.3 0.87605 0.87605 0.87604 0.0149967
41.4 0.870802 0.870802 0.870792 0.0149981
41.5 0.865572 0.865572 0.865563 0.0149995
41.6 0.860361 0.860361 0.860352 0.0150009
41.7 0.855169 0.855169 0.855159 0.0150023
41.8 0.849995 0.849995 0.849985 0.0150037
41.9 0.844839 0.844839 0.844829 0.0150051
42 0.839702 0.839702 0.839692 0.0150065
42.1 0.834583 0.834583 0.834573 0.015008
42.2 0.829482 0.829482 0.829472 0.0150094
42.3 0.8244 0.8244 0.82439 0.0150109
42.4 0.819336 0.819336 0.819326 0.0150123
42.5 0.814291 0.814291 0.814281 0.0150138
42.6 0.809264 0.809264 0.809254 0.0150153
42.7 0.804255 0.804255 0.804245 0.0150168
42.8 0.799265 0.799265 0.799255 0.0150183
42.9 0.794293 0.794293 0.794283 0.0150198
43 0.789339 0.789339 0.78933 0.0150213
43.1 0.784404 0.784404 0.784394 0.0150229
43.2 0.779487 0.779487 0.779477 0.0150244
43.3 0.774588 0.774588 0.774578 0.015026
43.4 0.769708 0.769708 0.769698 0.0150275
43.5 0.764845 0.764845 0.764836 0.0150291
43.6 0.760002 0.760002 0.759992 0.0150307
43.7 0.755176 0.755176 0.755166 0.0150323
43.8 0.750368 0.750368 0.750359 0.0150339
43.9 0.745579 0.745579 0.745569 0.0150355
44 0.740808 0.740808 0.740798 0.0150371
44.1 0.736055 0.736055 0.736045 0.0150387
44.2 0.731321 0.731321 0.731311 0.0150404
44.3 0.726604 0.726604 0.726594 0.015042
44.4 0.721906 0.721906 0.721896 0.0150437
44.5 0.717226 0.717226 0.717216 0.0150454
44.6 0.712564 0.712564 0.712554 0.0150471
44.7 0.70792 0.70792 0.70791 0.0150488
44.8 0.703294 0.703294 0.703284 0.0150505
44.9 0.698686 0.698686 0.698677 0.0150522
45 0.694097 0.694097 0.694087 0.0150539
45.1 0.689525 0.689525 0.689516 0.0150557
45.2 0.684972 0.684972 0.684962 0.0150574
45.3 0.680437 0.680437 0.680427 0.0150592
45.4 0.675919 0.675919 0.67591 0.015061
45.5 0.67142 0.67142 0.671411 0.0150628
45.6 0.666939 0.666939 0.666929 0.0150646
45.7 0.662476 0.662476 0.662466 0.0150664
45.8 0.658031 0.658031 0.658021 0.0150682
45.9 0.653604 0.653604 0.653594 0.01507
46 0.649194 0.649194 0.649185 0.0150719
46.1 0.644803 0.644803 0.644793 0.0150738
46.2 0.64043 0.64043 0.64042 0.0150756
46.3 0.636075 0.636075 0.636065 0.0150775
46.4 0.631737 0.631737 0.631727 0.0150794
46.5 0.627418 0.627418 0.627408 0.0150814
46.6 0.623116 0.623116 0.623106 0.0150833
46.7 0.618832 0.618832 0.618823 0.0150852
46.8 0.614566 0.614566 0.614557 0.0150872
46.9 0.610319 0.610319 0.610309 0.0150892
47 0.606088 0.606088 0.606079 0.0150912
47.1 0.601876 0.601876 0.601866 0.0150932
47.2 0.597682 0.597682 0.597672 0.0150952
47.3 0.593505 0.593505 0.593495 0.0150972
47.4 0.589346 0.589346 0.589337 0.0150993
47.5 0.585205 0.585205 0.585196 0.0151013
47.6 0.581082 0.581082 0.581072 0.0151034
