x y y_analytic yRK4 yRK5 h
0.079 -0.0154775 -0.00979809 -0.0154775 -0.0154774 1.55658e-06
0.08 -0.0158687 -0.0100476 -0.0158687 -0.0158686 1.5566e-06
0.081 -0.0162648 -0.0103002 -0.0162648 -0.0162647 1.55663e-06
0.082 -0.0166658 -0.0105559 -0.0166658 -0.0166658 1.55665e-06
0.083 -0.0170717 -0.0108148 -0.0170717 -0.0170716 1.55668e-06
0.084 -0.0174825 -0.0110768 -0.0174825 -0.0174824 1.5567e-06
0.085 -0.0178981 -0.0113419 -0.0178981 -0.017898 1.55673e-06
0.086 -0.0183187 -0.0116102 -0.0183187 -0.0183186 1.55676e-06
0.087 -0.018744 -0.0118816 -0.018744 -0.018744 1.55678e-06
0.088 -0.0191743 -0.0121561 -0.0191743 -0.0191742 1.55681e-06
0.089 -0.0196095 -0.0124337 -0.0196095 -0.0196094 1.55684e-06
0.09 -0.0200495 -0.0127145 -0.0200495 -0.0200494 1.55687e-06
0.091 -0.0204944 -0.0129984 -0.0204944 -0.0204943 1.5569e-06
0.092 -0.0209442 -0.0132855 -0.0209442 -0.0209441 1.55693e-06
0.093 -0.0213989 -0.0135756 -0.0213989 -0.0213988 1.55695e-06
0.094 -0.0218584 -0.0138689 -0.0218584 -0.0218583 1.55698e-06
0.095 -0.0223228 -0.0141653 -0.0223228 -0.0223227 1.55702e-06
0.096 -0.0227921 -0.0144648 -0.0227921 -0.022792 1.55705e-06
0.097 -0.0232663 -0.0147675 -0.0232663 -0.0232662 1.55708e-06
0.098 -0.0237453 -0.0150733 -0.0237453 -0.0237452 1.55711e-06
0.099 -0.0242292 -0.0153822 -0.0242292 -0.0242291 1.55714e-06
0.1 -0.024718 -0.0156942 -0.024718 -0.0247179 1.55717e-06
0.101 -0.0252117 -0.0160094 -0.0252117 -0.0252116 1.55721e-06
0.102 -0.0257102 -0.0163277 -0.0257102 -0.0257101 1.55724e-06
0.103 -0.0262136 -0.0166491 -0.0262136 -0.0262135 1.55728e-06
0.104 -0.0267219 -0.0169736 -0.0267219 -0.0267218 1.55731e-06
0.105 -0.027235 -0.0173013 -0.027235 -0.027235 1.55735e-06
0.106 -0.0277531 -0.017632 -0.0277531 -0.027753 1.55738e-06
0.107 -0.028276 -0.0179659 -0.028276 -0.0282759 1.55742e-06
0.108 -0.0288037 -0.0183029 -0.0288037 -0.0288037 1.55745e-06
0.109 -0.0293364 -0.0186431 -0.0293364 -0.0293363 1.55749e-06
0.11 -0.0298739 -0.0189863 -0.0298739 -0.0298738 1.55753e-06
0.111 -0.0304163 -0.0193327 -0.0304163 -0.0304162 1.55757e-06
0.112 -0.0309636 -0.0196822 -0.0309636 -0.0309635 1.55761e-06
0.113 -0.0315157 -0.0200348 -0.0315157 -0.0315156 1.55764e-06
0.114 -0.0320727 -0.0203906 -0.0320727 -0.0320726 1.55768e-06
0.115 -0.0326346 -0.0207494 -0.0326346 -0.0326345 1.55772e-06
0.116 -0.0332013 -0.0211114 -0.0332013 -0.0332012 1.55776e-06
0.117 -0.0337729 -0.0214765 -0.0337729 -0.0337728 1.55781e-06
0.118 -0.0343494 -0.0218447 -0.0343494 -0.0343493 1.55785e-06
0.119 -0.0349308 -0.022216 -0.0349308 -0.0349307 1.55789e-06
0.12 -0.035517 -0.0225904 -0.035517 -0.0355169 1.55793e-06
0.121 -0.0361081 -0.022968 -0.0361081 -0.036108 1.55798e-06
0.122 -0.036704 -0.0233486 -0.036704 -0.0367039 1.55802e-06
0.123 -0.0373048 -0.0237324 -0.0373048 -0.0373048 1.55806e-06
0.124 -0.0379105 -0.0241193 -0.0379105 -0.0379105 1.55811e-06
0.125 -0.0385211 -0.0245093 -0.0385211 -0.038521 1.55815e-06
0.126 -0.0391365 -0.0249024 -0.0391365 -0.0391364 1.5582e-06
0.127 -0.0397568 -0.0252986 -0.0397568 -0.0397567 1.55825e-06
0.128 -0.040382 -0.025698 -0.040382 -0.0403819 1.55829e-06
0.129 -0.041012 -0.0261004 -0.041012 -0.0410119 1.55834e-06
0.13 -0.0416469 -0.026506 -0.0416469 -0.0416468 1.55839e-06
0.131 -0.0422866 -0.0269147 -0.0422866 -0.0422866 1.55844e-06
0.132 -0.0429313 -0.0273264 -0.0429313 -0.0429312 1.55849e-06
0.133 -0.0435807 -0.0277413 -0.0435807 -0.0435807 1.55854e-06
0.134 -0.0442351 -0.0281593 -0.0442351 -0.044235 1.55859e-06
0.135 -0.0448943 -0.0285804 -0.0448943 -0.0448942 1.55864e-06
0.136 -0.0455584 -0.0290046 -0.0455584 -0.0455583 1.5587e-06
0.137 -0.0462273 -0.0294319 -0.0462273 -0.0462272 1.55875e-06
0.138 -0.0469011 -0.0298624 -0.0469011 -0.046901 1.5588e-06
0.139 -0.0475798 -0.0302959 -0.0475798 -0.0475797 1.55886e-06
0.14 -0.0482633 -0.0307325 -0.0482633 -0.0482632 1.55891e-06
0.141 -0.0489517 -0.0311722 -0.0489517 -0.0489516 1.55897e-06
0.142 -0.0496449 -0.0316151 -0.0496449 -0.0496448 1.55902e-06
0.143 -0.050343 -0.032061 -0.050343 -0.0503429 1.55908e-06
0.144 -0.051046 -0.0325101 -0.051046 -0.0510459 1.55914e-06
0.145 -0.0517538 -0.0329622 -0.0517538 -0.0517537 1.55919e-06
0.146 -0.0524665 -0.0334174 -0.0524665 -0.0524664 1.55925e-06
0.147 -0.053184 -0.0338758 -0.053184 -0.0531839 1.55931e-06
